Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2,Priority
3,0.12,144,72,17.7,deep,0.816,341,350,485,422,4
3,0.12,180,91,19.8,deep,0.814,427,437,607,528,4
3,0.12,215,108,18.0,deep,0.812,513,525,728,633,4
4,0.16,148,76,18.1,deep,0.805,337,351,485,427,4
4,0.16,184,95,18.7,deep,0.800,422,438,606,533,4
4,0.16,219,114,17.4,deep,0.797,507,527,726,641,4
8,0.32,160,83,19.2,deep,0.798,322,377,482,460,4
8,0.32,201,104,17.8,deep,0.795,402,471,603,575,4
8,0.32,242,124,19.8,deep,0.800,483,566,725,690,4
9,0.36,163,85,20.7,very_deep,0.847,320,381,483,466,5
9,0.36,203,106,17.4,deep,0.829,400,476,603,582,4
9,0.36,245,129,17.1,deep,0.837,480,571,725,700,4
10,0.40,170,90,18.2,deep,0.904,313,383,483,473,4
10,0.40,214,112,19.9,deep,0.898,391,480,605,592,4
10,0.40,256,136,16.9,deep,0.901,470,575,726,711,4
11,0.44,168,92,19.9,deep,0.913,313,385,481,477,4
11,0.44,215,115,17.7,deep,0.920,391,481,606,596,4
11,0.44,257,138,18.2,deep,0.922,470,578,727,716,4
12,0.48,170,95,17.3,deep,0.924,305,396,475,491,4
12,0.48,209,120,16.7,deep,0.925,382,493,591,613,4
12,0.48,250,144,17.6,deep,0.925,458,592,708,736,4
13,0.52,168,95,20.2,very_deep,0.894,303,403,471,498,5
13,0.52,210,120,18.2,deep,0.895,380,503,590,623,4
13,0.52,251,143,19.5,deep,0.896,456,605,707,748,4
14,0.56,180,106,19.5,deep,0.898,296,402,476,508,4
14,0.56,230,133,16.7,deep,0.897,370,503,600,636,4
14,0.56,275,158,19.7,deep,0.899,443,605,718,763,4
15,0.60,191,105,19.5,deep,0.958,281,413,472,518,4
15,0.60,242,130,19.1,deep,0.955,351,517,593,647,4
15,0.60,290,155,18.9,deep,0.955,422,621,712,776,4
16,0.64,191,117,17.3,deep,0.970,276,416,467,533,4
16,0.64,242,145,17.2,deep,0.970,343,520,585,665,4
16,0.64,288,172,16.3,deep,0.970,413,625,701,797,4
17,0.68,188,120,19.5,deep,0.940,273,423,461,543,4
17,0.68,236,152,18.3,deep,0.939,341,528,577,680,4
17,0.68,282,181,17.6,deep,0.940,410,635,692,816,4
18,0.72,197,120,18.3,deep,0.880,263,436,460,556,4
18,0.72,245,149,18.2,deep,0.876,330,546,575,695,4
18,0.72,295,180,17.1,deep,0.879,395,655,690,835,4
19,0.76,199,130,18.0,deep,0.935,261,441,460,571,4
19,0.76,250,163,19.2,deep,0.931,325,550,575,713,4
19,0.76,300,197,19.3,deep,0.932,390,660,690,857,4
20,0.80,219,135,17.5,deep,0.949,242,446,461,581,4
20,0.80,275,170,19.1,deep,0.949,302,557,577,727,4
20,0.80,329,204,16.8,deep,0.949,363,668,692,872,4
21,0.84,228,141,18.4,deep,0.952,232,450,460,591,4
21,0.84,286,178,19.2,deep,0.949,290,562,576,740,4
21,0.84,343,211,17.8,deep,0.951,348,676,691,887,4
22,0.88,238,147,18.2,deep,0.926,220,466,458,613,4
22,0.88,303,183,16.2,deep,0.926,272,583,575,766,4
22,0.88,363,220,16.4,deep,0.929,327,700,690,920,4
23,0.92,242,154,19.6,deep,0.927,213,471,455,625,4
23,0.92,305,190,16.8,deep,0.926,267,590,572,780,4
23,0.92,365,229,16.9,deep,0.925,321,707,686,936,4
24,0.96,246,158,16.4,deep,0.954,200,480,446,638,4
24,0.96,312,198,18.3,deep,0.952,251,600,563,798,4
24,0.96,374,237,15.8,medium,0.951,301,720,675,957,3
25,1.00,256,171,20.0,very_deep,0.886,182,492,438,663,5
25,1.00,322,215,16.8,deep,0.880,228,616,550,831,4
25,1.00,386,258,18.9,deep,0.880,275,738,661,996,4
26,1.04,270,176,17.1,deep,0.896,171,497,441,673,4
26,1.04,338,219,18.8,deep,0.896,213,622,551,841,4
26,1.04,404,264,15.8,medium,0.899,257,746,661,1010,3
27,1.08,278,175,19.3,deep,0.905,157,511,435,686,4
27,1.08,348,218,18.6,deep,0.901,197,640,545,858,4
27,1.08,419,263,16.9,deep,0.902,236,767,655,1030,4
28,1.12,283,183,18.9,deep,0.889,145,528,428,711,4
28,1.12,361,254,17.0,deep,0.902,180,646,541,900,4
28,1.12,432,304,17.6,deep,0.902,216,776,648,1080,4
29,1.16,283,179,19.7,deep,0.882,137,541,420,720,4
29,1.16,86,47,25.1,critical,0.345,770,396,856,443,6
29,1.16,355,224,17.3,deep,0.885,171,676,526,900,4
29,1.16,106,60,22.5,very_deep,0.320,962,495,1068,555,5
29,1.16,429,268,18.6,deep,0.884,203,812,632,1080,4
29,1.16,127,70,23.6,very_deep,0.313,1155,595,1282,665,5
30,1.20,276,174,17.7,deep,0.902,130,546,406,720,4
30,1.20,345,218,15.9,medium,0.900,162,682,507,900,3
30,1.20,413,262,18.0,deep,0.902,195,818,608,1080,4
31,1.24,269,159,19.4,deep,0.889,123,561,392,720,4
31,1.24,340,199,15.9,medium,0.895,151,701,491,900,3
31,1.24,407,239,15.6,medium,0.893,183,841,590,1080,3
32,1.28,261,140,19.7,deep,0.904,112,580,373,720,4
32,1.28,329,175,18.5,deep,0.907,138,725,467,900,4
32,1.28,395,212,17.4,deep,0.904,166,868,561,1080,4
33,1.32,93,54,22.6,very_deep,0.495,785,422,878,476,5
33,1.32,115,68,21.0,very_deep,0.495,980,527,1095,595,5
33,1.32,137,82,20.3,very_deep,0.511,1176,633,1313,715,5
34,1.36,119,66,22.3,very_deep,0.328,982,535,1101,601,5
34,1.36,141,80,25.1,critical,0.346,1180,642,1321,722,6
35,1.40,98,55,20.4,very_deep,0.413,788,442,886,497,5
35,1.40,127,66,22.6,very_deep,0.389,983,555,1110,621,5
35,1.40,151,80,21.6,very_deep,0.362,1181,666,1332,746,5
39,1.56,113,62,22.3,very_deep,0.482,803,475,916,537,5
39,1.56,140,76,23.1,very_deep,0.473,1006,595,1146,671,5
39,1.56,168,92,20.0,deep,0.481,1207,713,1375,805,4
40,1.60,103,65,21.3,very_deep,0.457,812,482,915,547,5
40,1.60,128,80,21.4,very_deep,0.389,1015,603,1143,683,5
40,1.60,154,96,23.7,very_deep,0.361,1218,725,1372,821,5
41,1.64,114,70,24.8,very_deep,0.323,816,486,930,556,5
41,1.64,140,89,25.1,critical,0.324,1020,607,1160,696,6
41,1.64,168,105,24.4,very_deep,0.338,1223,730,1391,835,5
42,1.68,114,70,20.8,very_deep,0.493,821,508,935,578,5
42,1.68,143,85,23.9,very_deep,0.507,1025,637,1168,722,5
42,1.68,171,102,21.1,very_deep,0.499,1230,765,1401,867,5
43,1.72,117,76,21.1,very_deep,0.344,833,512,950,588,5
43,1.72,144,94,21.9,very_deep,0.371,1042,642,1186,736,5
43,1.72,170,112,22.2,very_deep,0.384,1252,771,1422,883,5
45,1.80,129,79,22.4,very_deep,0.551,843,541,972,620,5
45,1.80,160,98,21.1,very_deep,0.571,1056,677,1216,775,5
45,1.80,192,117,22.8,very_deep,0.598,1268,813,1460,930,5
46,1.84,132,90,20.7,very_deep,0.453,846,547,978,637,5
46,1.84,160,106,20.8,very_deep,0.434,1060,687,1220,793,5
46,1.84,191,134,20.5,very_deep,0.455,1271,821,1462,955,5
47,1.88,128,83,20.9,very_deep,0.456,858,560,986,643,5
47,1.88,160,103,20.6,very_deep,0.428,1072,700,1232,803,5
47,1.88,192,125,24.2,very_deep,0.429,1286,840,1478,965,5
48,1.92,127,95,21.4,very_deep,0.638,873,577,1000,672,5
48,1.92,159,119,20.3,very_deep,0.652,1092,722,1251,841,5
48,1.92,191,141,22.2,very_deep,0.648,1311,867,1502,1008,5
51,2.04,746,380,17.9,deep,0.480,7,472,753,852,4
54,2.16,182,92,19.3,deep,0.932,0,320,182,412,4
54,2.16,227,115,16.6,deep,0.936,0,400,227,515,4
54,2.16,273,137,16.8,deep,0.934,0,481,273,618,4
55,2.20,171,98,19.2,deep,0.919,0,323,171,421,4
55,2.20,211,123,16.8,deep,0.915,0,403,211,526,4
55,2.20,253,147,18.7,deep,0.919,0,485,253,632,4
56,2.24,166,100,19.6,deep,0.898,0,328,166,428,4
