Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2,Priority
92,3.68,254,151,18.4,deep,0.665,1025,328,1279,479,4
92,3.68,45,40,25.6,critical,0.387,1235,552,1280,592,6
93,3.72,220,127,16.4,deep,0.936,811,576,1031,703,4
93,3.72,253,158,20.4,very_deep,0.627,1027,332,1280,490,5
93,3.72,135,75,24.0,very_deep,0.305,1,592,136,667,5
94,3.76,223,119,18.6,deep,0.928,809,591,1032,710,4
94,3.76,252,160,19.5,deep,0.660,1028,332,1280,492,4
95,3.80,305,153,19.1,deep,0.810,0,387,305,540,4
95,3.80,230,164,21.0,very_deep,0.607,1050,332,1280,496,5
96,3.84,306,161,18.5,deep,0.765,0,391,306,552,4
96,3.84,226,166,19.7,deep,0.560,1054,334,1280,500,4
97,3.88,301,164,19.3,deep,0.757,0,397,301,561,4
97,3.88,84,42,18.2,deep,0.756,758,321,842,363,4
97,3.88,215,165,21.7,very_deep,0.516,1065,341,1280,506,5
98,3.92,286,180,18.3,deep,0.830,0,402,286,582,4
98,3.92,201,145,20.8,very_deep,0.581,1078,356,1279,501,5
99,3.96,281,194,18.0,deep,0.821,0,405,281,599,4
99,3.96,198,147,19.7,deep,0.647,1081,358,1279,505,4
100,4.00,280,198,18.1,deep,0.816,0,411,280,609,4
100,4.00,88,44,21.5,very_deep,0.744,769,335,857,379,5
100,4.00,195,153,19.1,deep,0.698,1084,360,1279,513,4
101,4.04,276,193,18.6,deep,0.812,0,422,276,615,4
101,4.04,182,155,21.2,very_deep,0.683,1097,362,1279,517,5
102,4.08,260,209,18.0,deep,0.875,4,433,264,642,4
102,4.08,168,154,20.9,very_deep,0.666,1112,364,1280,518,5
103,4.12,265,217,20.1,very_deep,0.851,0,438,265,655,5
103,4.12,164,151,20.4,very_deep,0.712,1116,370,1280,521,5
104,4.16,253,227,17.5,deep,0.884,3,443,256,670,4
104,4.16,155,140,19.3,deep,0.648,1125,382,1280,522,4
105,4.20,236,238,19.5,deep,0.894,5,460,241,698,4
105,4.20,136,138,21.0,very_deep,0.686,1144,389,1280,527,5
106,4.24,233,245,17.8,deep,0.914,4,468,237,713,4
106,4.24,125,140,21.0,very_deep,0.767,1155,393,1280,533,5
107,4.28,230,244,17.5,deep,0.909,5,476,235,720,4
107,4.28,120,146,21.9,very_deep,0.718,1160,398,1280,544,5
108,4.32,215,230,19.4,deep,0.925,4,490,219,720,4
108,4.32,98,142,23.4,very_deep,0.577,1181,402,1279,544,5
109,4.36,212,219,18.8,deep,0.896,3,501,215,720,4
109,4.36,103,52,20.7,very_deep,0.853,816,386,919,438,5
109,4.36,95,108,24.6,very_deep,0.438,1184,414,1279,522,5
110,4.40,204,211,17.2,deep,0.886,0,509,204,720,4
110,4.40,81,105,20.9,very_deep,0.454,1199,417,1280,522,5
111,4.44,202,204,19.5,deep,0.754,0,516,202,720,4
111,4.44,63,98,25.1,critical,0.387,1215,425,1278,523,6
112,4.48,107,59,18.3,deep,0.854,840,404,947,463,4
112,4.48,178,176,19.6,deep,0.655,0,544,178,720,4
113,4.52,116,58,22.0,very_deep,0.688,838,411,954,469,5
114,4.56,116,62,19.1,deep,0.745,846,415,962,477,4
115,4.60,121,70,19.7,deep,0.673,858,425,979,495,4
115,4.60,136,116,23.8,very_deep,0.475,1,603,137,719,5
116,4.64,92,46,21.0,very_deep,0.816,802,367,894,413,5
116,4.64,120,69,19.6,deep,0.762,869,431,989,500,4
117,4.68,132,71,21.2,very_deep,0.732,868,437,1000,508,5
117,4.68,122,86,22.1,very_deep,0.554,1,634,123,720,5
118,4.72,139,77,18.5,deep,0.697,878,448,1017,525,4
119,4.76,138,86,18.5,deep,0.749,890,452,1028,538,4
120,4.80,99,50,19.7,deep,0.768,822,390,921,440,4
