Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2
69,2.76,357,93,25.0,critical,0.657,902,263,1259,356
72,2.88,250,82,25.0,critical,0.798,132,281,382,363
72,2.88,122,56,25.0,critical,0.733,714,372,836,428
72,2.88,272,86,25.0,critical,0.657,989,439,1261,525
72,2.88,66,51,25.0,critical,0.561,1213,669,1279,720
72,2.88,361,100,25.0,critical,0.516,917,267,1278,367
75,3.00,271,86,25.0,critical,0.828,108,292,379,378
75,3.00,129,59,25.0,critical,0.750,725,391,854,450
75,3.00,254,112,25.0,critical,0.687,1025,462,1279,574
75,3.00,347,117,25.0,critical,0.662,931,271,1278,388
78,3.12,136,63,25.0,critical,0.762,738,419,874,482
78,3.12,273,89,25.0,critical,0.736,90,310,363,399
78,3.12,211,127,25.0,critical,0.700,1068,492,1279,619
78,3.12,337,123,25.0,critical,0.587,941,285,1278,408
81,3.24,297,97,25.0,critical,0.836,69,317,366,414
81,3.24,153,70,25.0,critical,0.784,745,437,898,507
81,3.24,183,145,25.0,critical,0.698,1096,515,1279,660
81,3.24,324,139,25.0,critical,0.523,955,291,1279,430
84,3.36,168,78,25.0,critical,0.813,751,466,919,544
84,3.36,312,110,25.0,critical,0.760,39,328,351,438
84,3.36,305,147,25.0,critical,0.719,974,300,1279,447
84,3.36,54,21,25.0,critical,0.645,705,255,759,276
84,3.36,149,142,25.0,critical,0.609,1131,551,1280,693
84,3.36,232,48,25.0,critical,0.541,232,279,464,327
87,3.48,332,117,25.0,critical,0.868,9,344,341,461
87,3.48,177,92,25.0,critical,0.851,774,494,951,586
87,3.48,292,161,25.0,critical,0.716,987,302,1279,463
87,3.48,72,33,25.0,critical,0.537,734,286,806,319
90,3.60,201,111,25.0,critical,0.874,793,528,994,639
90,3.60,325,134,25.0,critical,0.806,0,355,325,489
90,3.60,63,23,25.0,critical,0.741,711,270,774,293
90,3.60,114,39,25.0,critical,0.579,802,170,916,209
90,3.60,270,151,25.0,critical,0.565,1010,321,1280,472
90,3.60,76,29,25.0,critical,0.503,737,301,813,330
93,3.72,220,127,25.0,critical,0.936,811,576,1031,703
93,3.72,317,142,25.0,critical,0.757,0,376,317,518
93,3.72,81,32,25.0,critical,0.713,747,312,828,344
93,3.72,121,37,25.0,critical,0.660,804,175,925,212
93,3.72,253,158,25.0,critical,0.627,1027,332,1280,490
93,3.72,342,60,25.0,critical,0.511,180,308,522,368
96,3.84,197,86,25.0,critical,0.808,834,632,1031,718
96,3.84,306,161,25.0,critical,0.765,0,391,306,552
96,3.84,88,40,25.0,critical,0.719,754,319,842,359
96,3.84,129,39,25.0,critical,0.694,804,176,933,215
96,3.84,65,27,25.0,critical,0.648,725,286,790,313
96,3.84,226,166,25.0,critical,0.560,1054,334,1280,500
99,3.96,281,194,25.0,critical,0.821,0,405,281,599
99,3.96,74,27,25.0,critical,0.735,729,298,803,325
99,3.96,87,40,25.0,critical,0.679,769,334,856,374
99,3.96,198,147,25.0,critical,0.647,1081,358,1279,505
99,3.96,342,79,25.0,critical,0.578,134,328,476,407
99,3.96,138,38,25.0,critical,0.569,808,179,946,217
102,4.08,260,209,25.0,critical,0.875,4,433,264,642
102,4.08,389,85,25.0,critical,0.675,93,343,482,428
102,4.08,168,154,25.0,critical,0.666,1112,364,1280,518
102,4.08,88,38,25.0,critical,0.661,783,350,871,388
102,4.08,254,48,25.0,critical,0.555,173,255,427,303
102,4.08,71,29,25.0,critical,0.555,742,308,813,337
105,4.20,236,238,25.0,critical,0.894,5,460,241,698
105,4.20,389,93,25.0,critical,0.794,89,355,478,448
105,4.20,94,44,25.0,critical,0.776,793,366,887,410
105,4.20,136,138,25.0,critical,0.686,1144,389,1280,527
105,4.20,142,47,25.0,critical,0.648,825,182,967,229
105,4.20,75,30,25.0,critical,0.568,753,321,828,351
105,4.20,280,53,25.0,critical,0.561,148,261,428,314
108,4.32,215,230,25.0,critical,0.925,4,490,219,720
108,4.32,103,49,25.0,critical,0.807,809,383,912,432
108,4.32,147,45,25.0,critical,0.795,832,187,979,232
108,4.32,370,97,25.0,critical,0.761,63,375,433,472
108,4.32,84,34,25.0,critical,0.672,762,332,846,366
108,4.32,272,63,25.0,critical,0.630,143,264,415,327
108,4.32,98,142,25.0,critical,0.577,1181,402,1279,544
111,4.44,151,48,25.0,critical,0.835,837,188,988,236
111,4.44,386,108,25.0,critical,0.820,36,387,422,495
111,4.44,82,40,25.0,critical,0.812,774,339,856,379
111,4.44,202,204,25.0,critical,0.754,0,516,202,720
111,4.44,110,53,25.0,critical,0.753,821,396,931,449
111,4.44,289,60,25.0,critical,0.648,128,271,417,331
111,4.44,182,37,25.0,critical,0.630,87,231,269,268
